iter	Passed	Remaining
0	361	35799
1	613	30078
2	855	27647
3	1070	25688
4	1348	25621
5	1560	24454
6	1786	23731
7	1993	22920
8	2207	22320
9	2467	22208
10	2691	21773
11	2879	21114
12	3122	20898
13	3336	20495
14	3596	20377
15	3810	20006
16	4057	19808
17	4247	19351
18	4516	19253
19	4712	18849
20	4920	18509
21	5105	18101
22	5421	18150
23	5879	18618
24	6302	18907
25	6705	19085
26	7120	19252
27	7579	19489
28	8111	19858
29	8423	19654
30	8624	19196
31	8846	18798
32	9057	18389
33	9267	17988
34	9452	17554
35	9667	17186
36	9889	16838
37	10090	16462
38	10320	16141
39	10557	15835
40	10777	15509
41	10995	15184
42	11192	14836
43	11426	14542
44	11651	14241
45	11873	13939
46	12110	13656
47	12308	13334
48	12506	13016
49	12699	12699
50	12924	12417
51	13122	12112
52	13339	11829
53	13586	11573
54	13779	11274
55	14002	11001
56	14184	10700
57	14402	10429
58	14629	10166
59	14849	9899
60	15109	9660
61	15341	9402
62	15583	9152
63	15830	8904
64	16038	8636
65	16241	8366
66	16462	8108
67	16709	7863
68	16934	7608
69	17181	7363
70	17390	7103
71	17603	6845
72	17824	6592
73	18041	6338
74	18256	6085
75	18615	5878
76	19041	5687
77	19460	5488
78	19953	5304
79	20275	5068
80	20663	4846
81	21104	4632
82	21580	4420
83	21773	4147
84	21987	3880
85	22177	3610
86	22379	3344
87	22610	3083
88	22792	2817
89	22989	2554
90	23190	2293
91	23379	2032
92	23606	1776
93	23866	1523
94	24054	1266
95	24260	1010
96	24456	756
97	24706	504
98	24914	251
99	25106	0
